K,lawfulness,net,benefit,cost
0.01,0.04,-0.08259183763999998,9.572836000000001e-05,0.08268756599999999
0.01,0.05,-0.08184683455,0.00011966045000000001,0.081966495
0.01,0.06,-0.08110183146,0.00014359254,0.081245424
0.01,0.07,-0.08035682837,0.00016752463,0.08052435299999999
0.01,0.08,-0.07961182528,0.00019145672000000003,0.079803282
0.01,0.09,-0.07886682219,0.00021538880999999997,0.079082211
0.01,0.1,-0.07812181909999999,0.00023932090000000001,0.07836114
0.01,0.11,-0.07737681601,0.00026325299,0.077640069
0.01,0.12,-0.07663181291999999,0.00028718508,0.07691899799999999
0.01,0.13,-0.07588680983,0.00031111717,0.076197927
0.01,0.14,-0.07514180674000001,0.00033504926,0.07547685600000001
0.01,0.15,-0.07439680365000001,0.00035898135,0.074755785
0.01,0.16,-0.07365180056000001,0.00038291344000000006,0.074034714
0.01,0.17,-0.07290679746999999,0.00040684553,0.073313643
0.01,0.18,-0.07216179438,0.00043077761999999993,0.07259257200000001
0.01,0.19,-0.07141679129,0.00045470971,0.071871501
0.01,0.2,-0.0706717882,0.00047864180000000003,0.07115043
0.01,0.21,-0.06992678511000001,0.00050257389,0.07042935900000001
0.01,0.22,-0.06918178202000001,0.00052650598,0.06970828800000001
0.01,0.23,-0.06843677893,0.00055043807,0.068987217
0.01,0.24,-0.06769177584,0.00057437016,0.068266146
0.01,0.25,-0.06694677275,0.00059830225,0.067545075
0.01,0.26,-0.06620176965999999,0.00062223434,0.06682400399999999
0.01,0.27,-0.06545676657,0.0006461664300000001,0.066102933
0.01,0.28,-0.06471176348,0.00067009852,0.065381862
0.01,0.29,-0.06396676039,0.00069403061,0.064660791
0.01,0.3,-0.0632217573,0.0007179627,0.06393972
0.01,0.31,-0.06247675421,0.0007418947900000001,0.063218649
0.01,0.32,-0.06173175112,0.0007658268800000001,0.062497578
0.01,0.33,-0.06098674803,0.0007897589700000002,0.061776507
0.01,0.34,-0.06024174493999999,0.00081369106,0.06105543599999999
0.01,0.35000000000000003,-0.05949674185,0.0008376231500000001,0.060334365
0.01,0.36,-0.058751738760000005,0.0008615552399999999,0.059613294000000004
0.01,0.37,-0.058006735670000004,0.00088548733,0.058892223
0.01,0.38,-0.05726173258,0.00090941942,0.058171152000000004
0.01,0.39,-0.056516729489999994,0.00093335151,0.05745008099999999
0.01,0.4,-0.055771726400000006,0.0009572836000000001,0.05672901
0.01,0.41000000000000003,-0.05502672331,0.0009812156900000002,0.056007939
0.01,0.42,-0.05428172022,0.00100514778,0.055286868
0.01,0.43,-0.05353671713000001,0.00102907987,0.054565797000000006
0.01,0.44,-0.05279171404,0.00105301196,0.053844726
0.01,0.45,-0.052046710950000005,0.00107694405,0.053123655000000006
0.01,0.46,-0.051301707860000004,0.00110087614,0.052402584
0.01,0.47000000000000003,-0.05055670477,0.0011248082299999999,0.051681513000000005
0.01,0.48,-0.04981170168000001,0.00114874032,0.05096044200000001
0.01,0.49,-0.049066698590000006,0.0011726724100000001,0.050239371000000005
0.01,0.5,-0.048321695500000005,0.0011966045,0.0495183
0.01,0.51,-0.047576692409999996,0.00122053659,0.048797229
0.01,0.52,-0.04683168932000001,0.00124446868,0.04807615800000001
0.01,0.53,-0.04608668623000001,0.0012684007700000002,0.047355087000000004
0.01,0.54,-0.04534168314,0.0012923328600000002,0.046634016
0.01,0.55,-0.044596680050000004,0.00131626495,0.045912945000000004
0.01,0.56,-0.04385167696,0.00134019704,0.045191874
0.01,0.5700000000000001,-0.043106673869999994,0.0013641291300000005,0.044470802999999996
0.01,0.58,-0.042361670780000006,0.00138806122,0.043749732000000006
0.01,0.59,-0.04161666769000001,0.0014119933100000001,0.04302866100000001
0.01,0.6,-0.040871664599999996,0.0014359254,0.04230759
0.01,0.61,-0.04012666151000001,0.00145985749,0.04158651900000001
0.01,0.62,-0.03938165842,0.0014837895800000002,0.040865448
0.01,0.63,-0.038636655330000005,0.00150772167,0.040144377
0.01,0.64,-0.03789165224,0.0015316537600000002,0.039423306
0.01,0.65,-0.03714664915,0.00155558585,0.038702235
0.01,0.66,-0.03640164606,0.0015795179400000005,0.037981164
0.01,0.67,-0.03565664296999999,0.0016034500300000003,0.037260092999999994
0.01,0.68,-0.034911639880000005,0.00162738212,0.036539022000000004
0.01,0.6900000000000001,-0.03416663679,0.00165131421,0.035817951
0.01,0.7000000000000001,-0.033421633699999995,0.0016752463000000001,0.03509688
0.01,0.71,-0.03267663061,0.00169917839,0.034375809
