scenario,step,x,record_similarity,identity_path,record_quality,agency,P_body,coherence,drag,free_resource,boundary_effect,boundary_opportunity,gamma_spirit,locality_cert,law_cert,noncoerce_cert,agency_compat,forced_order,observer_S,description_phase,B_addr,Lambda_path,Gamma_spirit,Xi_law,Pi_noncoerce,A_compat,gate_spirit,P_spirit_raw,P_spirit,B_body_cap,B_spirit_cap,B_cap_total,B_act_body,B_act_spirit,B_act_total,B_path,active_spirit_participation
frozen_record,37,0.15481171548117154,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,38,0.1589958158995816,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,39,0.16317991631799164,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,40,0.16736401673640167,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,41,0.17154811715481172,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,42,0.17573221757322174,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,43,0.1799163179916318,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,44,0.18410041841004185,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,45,0.18828451882845187,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
frozen_record,46,0.19246861924686193,0.94,0.91,0.9,0.93,0.003,0.62,0.04,0.01,0.0,1.0,0.0,1.0,1.0,1.0,0.92,0.0,0.02,addressable record without declared channel,0.76986,0.546,0.0,1.0,1.0,0.92,0.0,0.0,0.0,1.690482561464459e-06,0.0,1.6904825614894037e-06,0.0,0.0,0.0,0.0,False
